JDTDB,   , X, Y, Z, VX, VY, VZ, LT, RG, RR,
2453773.500000000, A.D. 2006-Feb-07 00:00:00.0000, -7.289614923913474E-01,  6.625600062044715E-01, -1.280611568027183E-04, -1.179228965985464E-02, -1.284288612143709E-02, -1.064350563029351E-07,  5.689312505489728E-03,  9.850739239319807E-01,  8.825974617131000E-05,
2453774.500000000, A.D. 2006-Feb-08 00:00:00.0000, -7.406399526614845E-01,  6.496167361297627E-01, -1.280996737205940E-04, -1.156410694608839E-02, -1.304296274553085E-02,  3.071842638994208E-08,  5.689836707013449E-03,  9.851646866122529E-01,  9.329681648502737E-05,
2453775.500000000, A.D. 2006-Feb-09 00:00:00.0000, -7.520886700961545E-01,  6.364754614774180E-01, -1.279981692027874E-04, -1.133281533585677E-02, -1.323889690117127E-02,  1.725406936262924E-07,  5.690390501849680E-03,  9.852605732157488E-01,  9.850082335400452E-05,
2453776.500000000, A.D. 2006-Feb-10 00:00:00.0000, -7.633045682734010E-01,  6.231403207154607E-01, -1.277550925294702E-04, -1.109847827460501E-02, -1.343069572206584E-02,  3.128792647639051E-07,  5.690974736531940E-03,  9.853617303152045E-01,  1.038309943340040E-04,
2453777.500000000, A.D. 2006-Feb-11 00:00:00.0000, -7.742846299748349E-01,  6.096154477585540E-01, -1.273747924783270E-04, -1.086115096702424E-02, -1.361836119486559E-02,  4.460900906591429E-07,  5.691590021537611E-03,  9.854682636115012E-01,  1.092463828741753E-04,
2453778.500000000, A.D. 2006-Feb-12 00:00:00.0000, -7.850258895717455E-01,  5.959049771212510E-01, -1.268669982381054E-04, -1.062088154586812E-02, -1.380189009571543E-02,  5.670626275210719E-07,  5.692236730542654E-03,  9.855802378046267E-01,  1.147059423332362E-04,
2453779.500000000, A.D. 2006-Feb-13 00:00:00.0000, -7.955254264037048E-01,  5.820130492924321E-01, -1.262462628768128E-04, -1.037771196060271E-02, -1.398127361568064E-02,  6.712698799449134E-07,  5.692915000121103E-03,  9.856976765416414E-01,  1.201686486362139E-04,
2453780.500000000, A.D. 2006-Feb-14 00:00:00.0000, -8.057803590533877E-01,  5.679438165929181E-01, -1.255313472544734E-04, -1.013167891823500E-02, -1.415649680386345E-02,  7.548346387199727E-07,  5.693624730673408E-03,  9.858205625774175E-01,  1.255938069482602E-04,
2453781.500000000, A.D. 2006-Feb-15 00:00:00.0000, -8.157878406421261E-01,  5.537014495849230E-01, -1.247445378240398E-04, -9.882814982931809E-03, -1.432753805944138E-02,  8.145919496509517E-07,  5.694365589542868E-03,  9.859488383142340E-01,  1.309414801893622E-04,
2453782.500000000, A.D. 2006-Feb-16 00:00:00.0000, -8.255450552703149E-01,  5.392901438822223E-01, -1.239109116127639E-04, -9.631149736391799E-03, -1.449436885910867E-02,  8.481301488003808E-07,  5.695137016556028E-03,  9.860824067610623E-01,  1.361728674219069E-04,
2453783.500000000, A.D. 2006-Feb-17 00:00:00.0000, -8.350492155594283E-01,  5.247141270922910E-01, -1.230575736828668E-04, -9.376710780262199E-03, -1.465695375571689E-02,  8.538054474086857E-07,  5.695938231156859E-03,  9.862211327688167E-01,  1.412504519794637E-04,
